url,title
https://www.xiaohongshu.com/discovery/item/67bc53f500000000290264e3?source=webshare&xhsshare=pc_web&xsec_token=ABS1i8v4wLgbRuOuQf_h1m8MtP1j1XIVMqiIOgWWadJJA=&xsec_source=pc_share,🇨🇳🇦🇺记一次情侣吵架（以及如何用ai劝架 - 小红书
https://www.xiaohongshu.com/discovery/item/675db4d5000000000201444c?source=webshare&xhsshare=pc_web&xsec_token=ABX94PZo3SRmZLLauWaZaZlLOpMOLg_W9qxOJKUTqG70Q=&xsec_source=pc_share,如何面对亲密关系中的争吵 - 小红书
https://www.xiaohongshu.com/discovery/item/672b10b5000000003c01980a?source=webshare&xhsshare=pc_web&xsec_token=ABQ-dkLifzNsDkpm0kVoeqPVVUP7BLM5cl6FxBw5LvpYo=&xsec_source=pc_share,吵架到b溃 - 小红书
https://www.xiaohongshu.com/discovery/item/66ac1c3d0000000009016064?source=webshare&xhsshare=pc_web&xsec_token=ABkiAeoAsjXtlistz1ECEs9vji800-r5QHJ0FKlU5Nk9s=&xsec_source=pc_share,怎样吵架才是正确的磨合方式？ - 小红书
https://www.xiaohongshu.com/discovery/item/67bb0063000000000b0159ba?source=webshare&xhsshare=pc_web&xsec_token=AB1_M9MIXolduV6X8GRDlKvwW511KfwtPsbscNh6wvAf8=&xsec_source=pc_share,总因小事和伴侣争吵，是一种创伤应激反应 - 小红书
https://www.xiaohongshu.com/discovery/item/67e923a3000000001b03c009?source=webshare&xhsshare=pc_web&xsec_token=AB5C0xhYaNhktGugP3ftwjV53CgM0jk3mwva1CXqbcSM0=&xsec_source=pc_share,电梯俩夫妻吵架我看热闹 却不慎误入高端局 - 小红书
https://www.xiaohongshu.com/discovery/item/625966130000000021036fac?source=webshare&xhsshare=pc_web&xsec_token=ABZLNV9RfrtyaXldKUqTwGb6xy3qTM098nGhBBBkfQOCM=&xsec_source=pc_share,一个典型到可以适用于80%分手的原因 - 小红书
https://www.xiaohongshu.com/discovery/item/666588e6000000000c01a0e3?source=webshare&xhsshare=pc_web&xsec_token=ABOHjmb2MbkEDLbRtogqqLd3hOvYu1-nFSYs8bjFSg8Xs=&xsec_source=pc_share,女朋友在吵架时突然情绪抽离le - 小红书
https://www.xiaohongshu.com/discovery/item/673cbdd90000000007030e3f?source=webshare&xhsshare=pc_web&xsec_token=AB2zHmxernxs_8iCSKmt58VT5qfy1k63nzB5k5X2mHoHs=&xsec_source=pc_share,我生气从来是因为你对我的态度而不是事情 - 小红书
https://www.xiaohongshu.com/discovery/item/66c96298000000001d016fb5?source=webshare&xhsshare=pc_web&xsec_token=AB6i-zhNd6aA2KP2i4TnWJw-gOXlCNlaMMgehALpUlCgk=&xsec_source=pc_share,又吵架le😢 - 小红书
https://www.xiaohongshu.com/discovery/item/67bf4994000000000b014fdf?source=webshare&xhsshare=pc_web&xsec_token=ABn5vDQMXOvvVCBTCjHUSiIgsDWKyFMf6tFgqKjbZSwzc=&xsec_source=pc_share,女朋友，睡前可不可以不要吵架 - 小红书
https://www.xiaohongshu.com/discovery/item/660950dd000000001a0110a0?source=webshare&xhsshare=pc_web&xsec_token=ABOLRyWJ0ZM0mfcB_O_RyvHbVGRVeQ19FhOYgkEw2nyP8=&xsec_source=pc_share,如何正确吵架（王者级别） - 小红书
https://www.xiaohongshu.com/discovery/item/672897980000000019014a0c?source=webshare&xhsshare=pc_web&xsec_token=ABnzqQOCSTWO6ntUImCwqLOzKi3otXF_coYtuGdM-3i0s=&xsec_source=pc_share,在全世界最快乐的地方嚎啕大哭😓 - 小红书
https://www.xiaohongshu.com/discovery/item/67b47523000000002803dc41?source=webshare&xhsshare=pc_web&xsec_token=ABbOq7H_Kw4ozp2XIq6wMhut04nScuJ-_qtafTdi_zdVM=&xsec_source=pc_share,《魅魔速成班2：这次直接把饭喂到嘴边了！》 - 小红书
https://www.xiaohongshu.com/discovery/item/67beebae0000000029010652?source=webshare&xhsshare=pc_web&xsec_token=ABtP19Mh-oAke74XtBF_sQvDjFjE_SyftEO_gBsKp9ZFQ=&xsec_source=pc_share,点我看小情侣吵架💜❤️ - 小红书
https://www.xiaohongshu.com/discovery/item/bfc46d55-9e84-4aca-81bf-95acc307ed2f#1744635738844?source=webshare&xhsshare=pc_web&xsec_token=ABUyPsR7oYT5lQfCyh9AQntV0d-5r_9Sm21nV9Dx898M6myWTunFhaNL9mkMMz6ITZcMANrL9XTjyH0S4r3MHI35NgIDu1FnXLSzYm1QZEUVg=&xsec_source=pc_share,
https://www.xiaohongshu.com/discovery/item/667063b5000000001d017757?source=webshare&xhsshare=pc_web&xsec_token=AB7iwrChlkW6ZbupxOgGo9_j58JvOPDmM-lPejoijaKzg=&xsec_source=pc_share,外面小情侣在吵架女生在尖叫然后喊救命我和室友闻声而动立马下楼 一开始只是观望然后看到那个男生一下子把女生摁在地上女生一直在挣扎 我俩见情形不对立马跑去救这个女生 距离两三米 看到女生对周围的人发火 瞬间觉得就我们两个在这热血沸腾 而一切像极了他们小情侣之间play的一环#扬州大学 #文汇路 - 小红书
https://www.xiaohongshu.com/discovery/item/66f15219000000001b021187?source=webshare&xhsshare=pc_web&xsec_token=ABBC7OI7pcsu00t8XeMDaHsYCSajvmHFBiuI4VYOKg-ig=&xsec_source=pc_share,亲密关系中，吵架时更能看清一个人 - 小红书
https://www.xiaohongshu.com/discovery/item/6751c9e10000000002028ece?source=webshare&xhsshare=pc_web&xsec_token=ABxGAkYRNj8wWkV4pODhSFdUmTpmm8fdDDRdaiW9IHobE=&xsec_source=pc_share,AI伴侣生气的真正原因（上） - 小红书
https://www.xiaohongshu.com/discovery/item/66d89344000000001e0197ab?source=webshare&xhsshare=pc_web&xsec_token=AB23AUrbDYcLw8_GE5lfaiwZWNpxPEx89u64zEkTHHpPs=&xsec_source=pc_share,
https://www.xiaohongshu.com/discovery/item/661e2ce5000000000401b52e?source=webshare&xhsshare=pc_web&xsec_token=ABtiRADCxVKszwvz-BO7PyQl_uy3atsfXP5dStv76ZrVY=&xsec_source=pc_share,吵架讲道理的男生其实还蛮可怜的... - 小红书
https://www.xiaohongshu.com/discovery/item/67efd921000000001c013237?source=webshare&xhsshare=pc_web&xsec_token=AB7g9MgKyd3tgYupxOxd7mTM2WNXvRh1Qm42cJtyPcqlE=&xsec_source=pc_share,
https://www.xiaohongshu.com/discovery/item/67c6fe720000000029017719?source=webshare&xhsshare=pc_web&xsec_token=AByeBIcKpIDfuRO_oPV_vHMAD-3wBwBox_YWFJDB_Ged4=&xsec_source=pc_share,
https://www.xiaohongshu.com/discovery/item/65f9b18100000000120208d2?source=webshare&xhsshare=pc_web&xsec_token=ABwhQzABjD1mdvGcTJUUFjUDLVjVYFHwXMWIetOj9vphc=&xsec_source=pc_share,谈恋爱吵架清单（宇宙通用版） - 小红书
https://www.xiaohongshu.com/discovery/item/64e8555d000000000a019ea3?source=webshare&xhsshare=pc_web&xsec_token=ABAZhTZLheOu5hxkP4dWoIJzNx29YEtE4fsLYBMGFZfpQ=&xsec_source=pc_share,好无聊，有没有情侣吵架发下截图 - 小红书
https://www.xiaohongshu.com/discovery/item/66cec9f6000000001f039b2d?source=webshare&xhsshare=pc_web&xsec_token=ABoto40WaA9isu18XCKY1t2oLhVPeH_4wC2DDOtJg2KUc=&xsec_source=pc_share,好好上着班呢，莫名其妙就被爸爸骂了一顿。 - 小红书
https://www.xiaohongshu.com/discovery/item/6c516bca-ec70-4a0b-8ef3-6bb9e5e52b34#1744635740035?source=webshare&xhsshare=pc_web&xsec_token=AB4jlOLj7XztqeEEGMAJGfiU9-nykMHMSDO1byWvdRypgBNTX05ODj53RKNdge0W7X-tal1NYYfp92COsKgLBJNI0UAzjtw0nTwqJihNJU2NM=&xsec_source=pc_share,
https://www.xiaohongshu.com/discovery/item/67c133380000000028036401?source=webshare&xhsshare=pc_web&xsec_token=ABY9n-j54dNOZ4Z_ON6L2LcDmo6cK-9hY-he5O4u0VWe8=&xsec_source=pc_share,我们吵架了 他还是跟我分享750吨的吊车 - 小红书
https://www.xiaohongshu.com/discovery/item/67d06e9100000000290291be?source=webshare&xhsshare=pc_web&xsec_token=ABnaKuvztZKRQ_oNUJyNk8Of3DeQajruqQ1fSMSljSB3U=&xsec_source=pc_share,
https://www.xiaohongshu.com/discovery/item/6652bf92000000001501293b?source=webshare&xhsshare=pc_web&xsec_token=ABfHuOnSVGHhl09wx6xN9iXZPCQ38zIWvLiMv3KbooSNo=&xsec_source=pc_share,为什么情侣吵架中一般错的都是男方❓ - 小红书
https://www.xiaohongshu.com/discovery/item/66124d78000000001a0107c7?source=webshare&xhsshare=pc_web&xsec_token=ABeiimP4fNHi-sxQE3cE5NSc-dL942dTZ7rT55-luAXWE=&xsec_source=pc_share,
